"CoreID","sat_level","Class","abund","total","relabund"
"FT006","100","AminoSugar",30,3776,0.79
"FT006","100","Carb",14,3776,0.37
"FT006","100","ConHC",647,3776,17.13
"FT006","100","Lignin",1936,3776,51.27
"FT006","100","Lipid",116,3776,3.07
"FT006","100","Other",20,3776,0.53
"FT006","100","Protein",487,3776,12.9
"FT006","100","Tannin",522,3776,13.82
"FT006","100","UnsatHC",4,3776,0.11
"FT007","100","AminoSugar",31,3855,0.8
"FT007","100","Carb",16,3855,0.42
"FT007","100","ConHC",649,3855,16.84
"FT007","100","Lignin",1958,3855,50.79
"FT007","100","Lipid",152,3855,3.94
"FT007","100","Other",20,3855,0.52
"FT007","100","Protein",505,3855,13.1
"FT007","100","Tannin",514,3855,13.33
"FT007","100","UnsatHC",10,3855,0.26
"FT008","100","AminoSugar",28,3823,0.73
"FT008","100","Carb",6,3823,0.16
"FT008","100","ConHC",638,3823,16.69
"FT008","100","Lignin",1946,3823,50.9
"FT008","100","Lipid",153,3823,4
"FT008","100","Other",20,3823,0.52
"FT008","100","Protein",509,3823,13.31
"FT008","100","Tannin",513,3823,13.42
"FT008","100","UnsatHC",10,3823,0.26
"FT009","100","AminoSugar",31,3399,0.91
"FT009","100","Carb",17,3399,0.5
"FT009","100","ConHC",546,3399,16.06
"FT009","100","Lignin",1785,3399,52.52
"FT009","100","Lipid",100,3399,2.94
"FT009","100","Other",20,3399,0.59
"FT009","100","Protein",440,3399,12.94
"FT009","100","Tannin",457,3399,13.45
"FT009","100","UnsatHC",3,3399,0.09
"FT010","100","AminoSugar",5,1672,0.3
"FT010","100","Carb",5,1672,0.3
"FT010","100","ConHC",65,1672,3.89
"FT010","100","Lignin",944,1672,56.46
"FT010","100","Lipid",164,1672,9.81
"FT010","100","Other",18,1672,1.08
"FT010","100","Protein",458,1672,27.39
"FT010","100","Tannin",4,1672,0.24
"FT010","100","UnsatHC",9,1672,0.54
"FT016","50","AminoSugar",42,3302,1.27
"FT016","50","Carb",27,3302,0.82
"FT016","50","ConHC",530,3302,16.05
"FT016","50","Lignin",1706,3302,51.67
"FT016","50","Lipid",97,3302,2.94
"FT016","50","Other",32,3302,0.97
"FT016","50","Protein",431,3302,13.05
"FT016","50","Tannin",429,3302,12.99
"FT016","50","UnsatHC",8,3302,0.24
"FT017","50","AminoSugar",46,3744,1.23
"FT017","50","Carb",26,3744,0.69
"FT017","50","ConHC",639,3744,17.07
"FT017","50","Lignin",1874,3744,50.05
"FT017","50","Lipid",107,3744,2.86
"FT017","50","Other",30,3744,0.8
"FT017","50","Protein",502,3744,13.41
