"CoreID","sat_level","Class","abund","total","relabund"
"FT017","50","Tannin",510,3744,13.62
"FT017","50","UnsatHC",10,3744,0.27
"FT018","50","AminoSugar",33,3597,0.92
"FT018","50","Carb",23,3597,0.64
"FT018","50","ConHC",613,3597,17.04
"FT018","50","Lignin",1834,3597,50.99
"FT018","50","Lipid",100,3597,2.78
"FT018","50","Other",29,3597,0.81
"FT018","50","Protein",462,3597,12.84
"FT018","50","Tannin",498,3597,13.84
"FT018","50","UnsatHC",5,3597,0.14
"FT019","50","AminoSugar",39,3637,1.07
"FT019","50","Carb",24,3637,0.66
"FT019","50","ConHC",622,3637,17.1
"FT019","50","Lignin",1831,3637,50.34
"FT019","50","Lipid",98,3637,2.69
"FT019","50","Other",29,3637,0.8
"FT019","50","Protein",479,3637,13.17
"FT019","50","Tannin",507,3637,13.94
"FT019","50","UnsatHC",8,3637,0.22
"FT020","50","AminoSugar",46,3636,1.27
"FT020","50","Carb",29,3636,0.8
"FT020","50","ConHC",604,3636,16.61
"FT020","50","Lignin",1824,3636,50.17
"FT020","50","Lipid",109,3636,3
"FT020","50","Other",30,3636,0.83
"FT020","50","Protein",505,3636,13.89
"FT020","50","Tannin",478,3636,13.15
"FT020","50","UnsatHC",11,3636,0.3
"FT081","FM","AminoSugar",28,2947,0.95
"FT081","FM","Carb",22,2947,0.75
"FT081","FM","ConHC",499,2947,16.93
"FT081","FM","Lignin",1574,2947,53.41
"FT081","FM","Lipid",91,2947,3.09
"FT081","FM","Other",17,2947,0.58
"FT081","FM","Protein",393,2947,13.34
"FT081","FM","Tannin",312,2947,10.59
"FT081","FM","UnsatHC",11,2947,0.37
"FT082","FM","AminoSugar",28,3003,0.93
"FT082","FM","Carb",22,3003,0.73
"FT082","FM","ConHC",533,3003,17.75
"FT082","FM","Lignin",1586,3003,52.81
"FT082","FM","Lipid",101,3003,3.36
"FT082","FM","Other",17,3003,0.57
"FT082","FM","Protein",382,3003,12.72
"FT082","FM","Tannin",323,3003,10.76
"FT082","FM","UnsatHC",11,3003,0.37
"FT083","FM","AminoSugar",24,2998,0.8
"FT083","FM","Carb",24,2998,0.8
"FT083","FM","ConHC",530,2998,17.68
"FT083","FM","Lignin",1592,2998,53.1
"FT083","FM","Lipid",104,2998,3.47
"FT083","FM","Other",18,2998,0.6
"FT083","FM","Protein",384,2998,12.81
"FT083","FM","Tannin",313,2998,10.44
"FT083","FM","UnsatHC",9,2998,0.3
"FT084","FM","AminoSugar",27,3041,0.89
"FT084","FM","Carb",23,3041,0.76
"FT084","FM","ConHC",522,3041,17.17
"FT084","FM","Lignin",1611,3041,52.98
"FT084","FM","Lipid",107,3041,3.52
"FT084","FM","Other",18,3041,0.59
"FT084","FM","Protein",403,3041,13.25
"FT084","FM","Tannin",325,3041,10.69
"FT084","FM","UnsatHC",5,3041,0.16
"FT085","FM","AminoSugar",18,3028,0.59
"FT085","FM","Carb",14,3028,0.46
"FT085","FM","ConHC",541,3028,17.87
"FT085","FM","Lignin",1609,3028,53.14
"FT085","FM","Lipid",103,3028,3.4
"FT085","FM","Other",14,3028,0.46
"FT085","FM","Protein",389,3028,12.85
"FT085","FM","Tannin",332,3028,10.96
"FT085","FM","UnsatHC",8,3028,0.26
