"CoreID","treatment","sat_level","Mass","formula","presence","n"
"FT001","Wetting",100,323.1499961,"C17H24O6",1,5
"FT001","Wetting",100,323.1864253,"C18H28O5",1,4
"FT001","Wetting",100,325.0200825,"C13H10O10",1,5
"FT001","Wetting",100,325.0353462,"C17H10O7",1,5
"FT001","Wetting",100,325.0553798,"C8H15O8N4P1",1,3
"FT001","Wetting",100,325.0565246,"C14H14O9",1,5
"FT001","Wetting",100,325.0717474,"C18H14O6",1,5
"FT001","Wetting",100,325.0928689,"C15H18O8",1,5
"FT001","Wetting",100,325.129281,"C16H22O7",1,5
"FT001","Wetting",100,325.1656435,"C17H26O6",1,5
"FT001","Wetting",100,325.184267,"C18H30O3S1",1,5
"FT001","Wetting",100,327.0146238,"C16H8O8",1,4
"FT001","Wetting",100,327.0357695,"C13H12O10",1,5
"FT001","Wetting",100,327.0510721,"C17H12O7",1,5
"FT001","Wetting",100,327.0721869,"C14H16O9",1,5
"FT001","Wetting",100,327.0874145,"C18H16O6",1,5
"FT001","Wetting",100,327.1085305,"C15H20O8",1,5
"FT001","Wetting",100,327.1238151,"C19H20O5",1,5
"FT001","Wetting",100,327.1437948,"C10H25O6N4P1",1,4
"FT001","Wetting",100,327.144944,"C16H24O7",1,5
"FT001","Wetting",100,327.1813364,"C17H28O6",1,4
"FT001","Wetting",100,329.0302635,"C16H10O8",1,5
"FT001","Wetting",100,329.0514024,"C13H14O10",1,5
"FT001","Wetting",100,329.0666816,"C17H14O7",1,5
"FT001","Wetting",100,329.0878089,"C14H18O9",1,5
"FT001","Wetting",100,329.1030404,"C18H18O6",1,5
"FT001","Wetting",100,329.1241733,"C15H22O8",1,5
"FT001","Wetting",100,329.1394491,"C19H22O5",1,5
"FT001","Wetting",100,329.1605831,"C16H26O7",1,5
"FT001","Wetting",100,329.1969299,"C17H30O6",1,5
"FT001","Wetting",100,331.0095351,"C15H8O9",1,5
"FT001","Wetting",100,331.0306586,"C12H12O11",1,4
"FT001","Wetting",100,331.0459379,"C16H12O8",1,5
"FT001","Wetting",100,331.0670863,"C13H16O10",1,5
"FT001","Wetting",100,331.0823427,"C17H16O7",1,5
"FT001","Wetting",100,331.1034529,"C14H20O9",1,5
"FT001","Wetting",100,331.1187111,"C18H20O6",1,5
"FT001","Wetting",100,331.1398804,"C15H24O8",1,5
"FT001","Wetting",100,331.1551367,"C19H24O5",1,5
"FT001","Wetting",100,331.176228,"C16H28O7",1,5
"FT001","Wetting",100,331.1914876,"C20H28O4",1,5
