"sat_level","Class","rel_abund","se","relative_abundance","hsd"
"100","AminoSugar",0.71,0.11,"0.71 ± 0.11 b","b"
"100","Carb",0.35,0.06,"0.35 ± 0.06 b","b"
"100","ConHC",14.12,2.56,"14.12 ± 2.56 a","a"
"100","Lignin",52.39,1.06,"52.39 ± 1.06 ab","ab"
"100","Lipid",4.75,1.28,"4.75 ± 1.28 a","a"
"100","Other",0.65,0.11,"0.65 ± 0.11 ab","ab"
"100","Protein",15.93,2.87,"15.93 ± 2.87 a","a"
"100","Tannin",10.85,2.65,"10.85 ± 2.65 a","a"
"100","UnsatHC",0.25,0.08,"0.25 ± 0.08 a","a"
"50","AminoSugar",1.15,0.07,"1.15 ± 0.07 a","a"
"50","Carb",0.72,0.04,"0.72 ± 0.04 a","a"
"50","ConHC",16.77,0.2,"16.77 ± 0.2 a","a"
"50","Lignin",50.64,0.3,"50.64 ± 0.3 b","b"
"50","Lipid",2.85,0.06,"2.85 ± 0.06 a","a"
"50","Other",0.84,0.03,"0.84 ± 0.03 a","a"
"50","Protein",13.27,0.18,"13.27 ± 0.18 a","a"
"50","Tannin",13.51,0.19,"13.51 ± 0.19 a","a"
"50","UnsatHC",0.23,0.03,"0.23 ± 0.03 a","a"
"FM","AminoSugar",0.83,0.07,"0.83 ± 0.07 b","b"
"FM","Carb",0.7,0.06,"0.7 ± 0.06 a","a"
"FM","ConHC",17.48,0.18,"17.48 ± 0.18 a","a"
"FM","Lignin",53.09,0.1,"53.09 ± 0.1 a","a"
"FM","Lipid",3.37,0.07,"3.37 ± 0.07 a","a"
"FM","Other",0.56,0.03,"0.56 ± 0.03 b","b"
"FM","Protein",12.99,0.13,"12.99 ± 0.13 a","a"
"FM","Tannin",10.69,0.09,"10.69 ± 0.09 a","a"
"FM","UnsatHC",0.29,0.04,"0.29 ± 0.04 a","a"
