"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
248.9238692,"C10H3O2S2P1","CHOSP","ConHC",0.3,0.2,1,0.5,10,3,2,0,2,1
251.0746572,"C13H16O3S1","CHOS","Lignin",1.23,0.23,0.3333,-0.6154,13,16,3,0,1,0
253.0856015,"C10H23O1S2P1","CHOSP","Lipid",2.3,0.1,-0.5385,-1.7,10,23,1,0,2,1
255.0499391,"C5H13O6N4P1","CHONP","Other",2.6,1.2,2,2.2,5,13,6,4,0,1
255.10196,"C8H20O5N2S1","CHONS","Other",2.5,0.62,-2.2,-0.25,8,20,5,2,1,0
257.0067272,"C17H6O1S1","CHOS","ConHC",0.35,0.06,0.871,-0.1176,17,6,1,0,1,0
257.1103155,"C6H18O7N4","CHON","Other",3,1.17,5,1.3333,6,18,7,4,0,0
258.0171731,"C9H10O6N1P1","CHONP","Tannin",1.11,0.67,0.25,0.5556,9,10,6,1,0,1
258.9487621,"C7H4O5N2S2","CHONS","ConHC",0.57,0.71,1,2.2857,7,4,5,2,2,0
259.1563832,"C14H20O1N4","CHON","UnsatHC",1.43,0.07,0.2632,-0.4286,14,20,1,4,0,0
260.0152765,"C9H12O4N1S1P1","CHONSP","Lignin",1.33,0.44,0,0.1111,9,12,4,1,1,1
261.9658987,"C9H2O5N3P1","CHONP","ConHC",0.22,0.56,1.8,1.8889,9,2,5,3,0,1
262.1365352,"C15H22O1N1P1","CHONP","UnsatHC",1.47,0.07,0.28,-1.1333,15,22,1,1,0,1
263.0923858,"C14H16O5","CHO","Lignin",1.14,0.36,0.3913,-0.4286,14,16,5,0,0,0
264.0331531,"C14H8O1N3P1","CHONP","ConHC",0.57,0.07,0.8947,0.2143,14,8,1,3,0,1
264.0370893,"C9H15O4N1S2","CHONS","Protein",1.67,0.44,-0.5,0,9,15,4,1,2,0
264.0430899,"C12H12O4N1P1","CHONP","Lignin",1,0.33,0.5,-0.0833,12,12,4,1,0,1
264.0449338,"C11H11O3N3S1","CHONS","Lignin",1,0.27,0.4545,0.5455,11,11,3,3,1,0
264.0454394,"C19H7O1N1","CHON","ConHC",0.37,0.05,0.8857,-0.1053,19,7,1,1,0,0
264.046603,"C9H16O4N1S1P1","CHONSP","Protein",1.78,0.44,-0.5,-0.3333,9,16,4,1,1,1
264.0472191,"C7H11O8N3","CHON","Other",1.57,1.14,-Inf,2,7,11,8,3,0,0
264.048314,"C8H15O3N3S2","CHONS","Protein",1.88,0.38,-2.3333,0.5,8,15,3,3,2,0
264.0487875,"C16H11O1N1S1","CHONS","ConHC",0.69,0.06,0.7037,-0.25,16,11,1,1,1,0
264.0489881,"C16H11O1N1S1","CHONS","ConHC",0.69,0.06,0.7037,-0.25,16,11,1,1,1,0
264.0512466,"C12H11O6N1","CHON","Lignin",0.92,0.5,0.5,0.3333,12,11,6,1,0,0
264.0521028,"C13H15O1N1S2","CHONS","UnsatHC",1.15,0.08,0.3684,-0.4615,13,15,1,1,2,0
264.0526686,"C13H7O2N5","CHON","ConHC",0.54,0.15,1,0.9231,13,7,2,5,0,0
264.0543725,"C11H12O3N3P1","CHONP","Lignin",1.09,0.27,0.4545,0.2727,11,12,3,3,0,1
264.0546463,"C9H15O6N1S1","CHONS","AminoSugar",1.67,0.67,-0.5,0.2222,9,15,6,1,1,0
264.057712,"C8H16O3N3S1P1","CHONSP","Protein",2,0.38,-2.3333,0.125,8,16,3,3,1,1
264.062695,"C11H11O5N3","CHON","Lignin",1,0.45,0.4545,0.7273,11,11,5,3,0,0
264.0643341,"C9H16O6N1P1","CHONP","AminoSugar",1.78,0.67,-0.5,-0.1111,9,16,6,1,0,1
264.0651556,"C10H20O1N1S2P1","CHONSP","Lipid",2,0.1,-0.4545,-1.1,10,20,1,1,2,1
264.0660506,"C8H15O5N3S1","CHONS","AminoSugar",1.88,0.62,-2.3333,0.75,8,15,5,3,1,0
264.0667473,"C16H11O3N1","CHON","ConHC",0.69,0.19,0.7037,-0.125,16,11,3,1,0,0
264.070007,"C13H15O3N1S1","CHONS","Lignin",1.15,0.23,0.3684,-0.3077,13,15,3,1,1,0
264.0877622,"C13H15O5N1","CHON","Lignin",1.15,0.38,0.3684,-0.1538,13,15,5,1,0,0
264.0890641,"C14H11O1N5","CHON","ConHC",0.79,0.07,0.7647,0.4286,14,11,1,5,0,0
264.0940822,"C9H20O2N3S1P1","CHONSP","Lipid",2.22,0.22,-1.3333,-0.5556,9,20,2,3,1,1
264.1022312,"C9H19O4N3S1","CHONS","Protein",2.11,0.44,-1.3333,0,9,19,4,3,1,0
264.1062842,"C14H19O2N1S1","CHONS","Lignin",1.36,0.14,0.2727,-0.7143,14,19,2,1,1,0
264.1064962,"C14H19O2N1S1","CHONS","Lignin",1.36,0.14,0.2727,-0.7143,14,19,2,1,1,0
264.1089136,"C10H19O7N1","CHON","Carb",1.9,0.7,-0.4545,-0.2,10,19,7,1,0,0
264.1118032,"C9H20O4N3P1","CHONP","Protein",2.22,0.44,-1.3333,-0.3333,9,20,4,3,0,1
264.1143585,"C16H15O1N3","CHON","UnsatHC",0.94,0.06,0.6,-0.25,16,15,1,3,0,0
264.1158316,"C14H20O2N1P1","CHONP","Lignin",1.43,0.14,0.2727,-0.9286,14,20,2,1,0,1
264.1193904,"C11H24O2N1S1P1","CHONSP","Lipid",2.18,0.18,-0.4286,-1.3636,11,24,2,1,1,1
264.120035,"C9H19O6N3","CHON","AminoSugar",2.11,0.67,-1.3333,0.2222,9,19,6,3,0,0
264.1208447,"C10H23O1N3S2","CHONS","Lipid",2.3,0.1,-1,-0.8,10,23,1,3,2,0
264.1210268,"C10H23O1N3S2","CHONS","Lipid",2.3,0.1,-1,-0.8,10,23,1,3,2,0
264.1240954,"C14H19O4N1","CHON","Lignin",1.36,0.29,0.2727,-0.5714,14,19,4,1,0,0
264.1269992,"C13H20O1N3P1","CHONP","Lipid",1.54,0.08,0.1765,-0.6923,13,20,1,3,0,1
264.1313627,"C8H19O5N5","CHON","Other",2.38,0.62,-11,0.75,8,19,5,5,0,0
264.1676463,"C9H23O4N5","CHON","Other",2.56,0.44,-3,0,9,23,4,5,0,0
265.035305,"C12H10O7","CHO","Lignin",0.83,0.58,0.5294,0.3333,12,10,7,0,0,0
265.071769,"C13H14O6","CHO","Lignin",1.08,0.46,0.4,-0.1538,13,14,6,0,0,0
266.0452336,"C7H13O6N3S1","CHONS","Carb",1.86,0.86,-Inf,1.4286,7,13,6,3,1,0
267.0509475,"C12H12O7","CHO","Lignin",1,0.58,0.4118,0.1667,12,12,7,0,0,0
267.0873573,"C13H16O6","CHO","Lignin",1.23,0.46,0.3,-0.3077,13,16,6,0,0,0
267.1238175,"C14H20O5","CHO","Lignin",1.43,0.36,0.2174,-0.7143,14,20,5,0,0,0
269.0667452,"C12H14O7","CHO","Lignin",1.17,0.58,0.2941,0,12,14,7,0,0,0
269.1030787,"C13H18O6","CHO","Lignin",1.38,0.46,0.2,-0.4615,13,18,6,0,0,0
271.0248618,"C14H8O6","CHO","ConHC",0.57,0.43,0.7273,0.2857,14,8,6,0,0,0
271.0610853,"C15H12O5","CHO","Lignin",0.8,0.33,0.6,-0.1333,15,12,5,0,0,0
271.0822703,"C12H16O7","CHO","Lignin",1.33,0.58,0.1765,-0.1667,12,16,7,0,0,0
271.0975318,"C16H16O4","CHO","Lignin",1,0.25,0.5,-0.5,16,16,4,0,0,0
271.1187066,"C13H20O6","CHO","Protein",1.54,0.46,0.1,-0.6154,13,20,6,0,0,0
273.0088675,"C11H6O3N4S1","CHONS","ConHC",0.55,0.27,1,1.2727,11,6,3,4,1,0
273.0404589,"C14H10O6","CHO","ConHC",0.71,0.43,0.6364,0.1429,14,10,6,0,0,0
273.0767659,"C15H14O5","CHO","Lignin",0.93,0.33,0.52,-0.2667,15,14,5,0,0,0
273.1132585,"C16H18O4","CHO","Lignin",1.12,0.25,0.4286,-0.625,16,18,4,0,0,0
273.1343285,"C13H22O6","CHO","Protein",1.69,0.46,0,-0.7692,13,22,6,0,0,0
274.9709704,"C7H5O8N2P1","CHONP","Other",0.71,1.14,NA,2.4286,7,5,8,2,0,1
275.019756,"C13H8O7","CHO","ConHC",0.62,0.54,0.6842,0.4615,13,8,7,0,0,0
275.0550743,"C8H13O5N4P1","CHONP","AminoSugar",1.62,0.62,-5,1.125,8,13,5,4,0,1
275.0561277,"C14H12O6","CHO","Lignin",0.86,0.43,0.5455,0,14,12,6,0,0,0
275.0915773,"C9H17O4N4P1","CHONP","Protein",1.89,0.44,-1.5,0.3333,9,17,4,4,0,1
275.0924712,"C15H16O5","CHO","Lignin",1.07,0.33,0.44,-0.4,15,16,5,0,0,0
275.1288147,"C16H20O4","CHO","Lignin",1.25,0.25,0.3571,-0.75,16,20,4,0,0,0
275.9760558,"C15H3O3N1S1","CHONS","ConHC",0.2,0.2,1,0.5333,15,3,3,1,1,0
275.9969102,"C14H4O2N3P1","CHONP","ConHC",0.29,0.14,1.1111,0.6429,14,4,2,3,0,1
275.9973382,"C12H7O5N1S1","CHONS","ConHC",0.58,0.42,0.7333,0.6667,12,7,5,1,1,0
276.0001802,"C11H8O2N3S1P1","CHONSP","ConHC",0.73,0.18,0.8,0.6364,11,8,2,3,1,1
276.0005058,"C9H11O5N1S2","CHONS","Lignin",1.22,0.56,-0.1429,0.6667,9,11,5,1,2,0
276.0006816,"C9H11O5N1S2","CHONS","Lignin",1.22,0.56,-0.1429,0.6667,9,11,5,1,2,0
276.001046,"C9H3O6N5","CHON","ConHC",0.33,0.67,3,2.6667,9,3,6,5,0,0
276.0133982,"C6H16O5N1S2P1","CHONSP","Other",2.67,0.83,13,0.1667,6,16,5,1,2,1
276.0261161,"C11H7O6N3","CHON","ConHC",0.64,0.55,0.8,1.2727,11,7,6,3,0,0
276.0733012,"C11H19O3N1S2","CHONS","Lipid",1.73,0.27,-0.2308,-0.5455,11,19,3,1,2,0
276.0755581,"C9H16O5N3P1","CHONP","AminoSugar",1.78,0.56,-1,0.3333,9,16,5,3,0,1
276.1201168,"C10H19O6N3","CHON","AminoSugar",1.9,0.6,-0.75,0.2,10,19,6,3,0,0
276.1750823,"C12H27O2N3S1","CHONS","Lipid",2.25,0.17,-0.5714,-1,12,27,2,3,1,0
277.0303913,"C10H15O5S1P1","CHOSP","Protein",1.5,0.5,-0.0909,-0.3,10,15,5,0,1,1
277.0353489,"C13H10O7","CHO","ConHC",0.77,0.54,0.5789,0.3077,13,10,7,0,0,0
277.0717757,"C14H14O6","CHO","Lignin",1,0.43,0.4545,-0.1429,14,14,6,0,0,0
277.108159,"C15H18O5","CHO","Lignin",1.2,0.33,0.36,-0.5333,15,18,5,0,0,0
277.1445254,"C16H22O4","CHO","Lignin",1.38,0.25,0.2857,-0.875,16,22,4,0,0,0
277.1799928,"C11H27O2N4P1","CHONP","Lipid",2.45,0.18,-1,-1,11,27,2,4,0,1
277.1808465,"C17H26O3","CHO","Lipid",1.53,0.18,0.2258,-1.1765,17,26,3,0,0,0
279.0146239,"C12H8O8","CHO","ConHC",0.67,0.67,0.625,0.6667,12,8,8,0,0,0
279.0501,"C7H13O6N4P1","CHONP","Carb",1.86,0.86,4,1.5714,7,13,6,4,0,1
279.0509911,"C13H12O7","CHO","Lignin",0.92,0.54,0.4737,0.1538,13,12,7,0,0,0
279.0873934,"C14H16O6","CHO","Lignin",1.14,0.43,0.3636,-0.2857,14,16,6,0,0,0
279.1238084,"C15H20O5","CHO","Lignin",1.33,0.33,0.28,-0.6667,15,20,5,0,0,0
280.9137828,"C10H3O4S2P1","CHOSP","ConHC",0.3,0.4,1,0.9,10,3,4,0,2,1
281.0303205,"C12H10O8","CHO","Tannin",0.83,0.67,0.5,0.5,12,10,8,0,0,0
281.0528368,"C10H10O6N4","CHON","Lignin",1,0.6,0.3333,1.4,10,10,6,4,0,0
281.0666485,"C13H14O7","CHO","Lignin",1.08,0.54,0.3684,0,13,14,7,0,0,0
281.1030596,"C14H18O6","CHO","Lignin",1.29,0.43,0.2727,-0.4286,14,18,6,0,0,0
281.1059196,"C13H19O3N2P1","CHONP","Lignin",1.46,0.23,0.1765,-0.5385,13,19,3,2,0,1
281.1394636,"C15H22O5","CHO","Lignin",1.47,0.33,0.2,-0.8,15,22,5,0,0,0
281.175865,"C16H26O4","CHO","Lipid",1.62,0.25,0.1429,-1.125,16,26,4,0,0,0
283.0094457,"C11H8O9","CHO","ConHC",0.73,0.82,0.5385,0.9091,11,8,9,0,0,0
283.0248074,"C15H8O6","CHO","ConHC",0.53,0.4,0.75,0.2667,15,8,6,0,0,0
283.0459687,"C12H12O8","CHO","Tannin",1,0.67,0.375,0.3333,12,12,8,0,0,0
283.0605463,"C8H16O7N2S1","CHONS","Carb",2,0.88,-3,0.75,8,16,7,2,1,0
283.0611946,"C16H12O5","CHO","ConHC",0.75,0.31,0.6296,-0.125,16,12,5,0,0,0
283.0823662,"C13H16O7","CHO","Lignin",1.23,0.54,0.2632,-0.1538,13,16,7,0,0,0
283.0976997,"C17H16O4","CHO","Lignin",0.94,0.24,0.5333,-0.4706,17,16,4,0,0,0
283.1186974,"C14H20O6","CHO","Lignin",1.43,0.43,0.1818,-0.5714,14,20,6,0,0,0
283.1550623,"C15H24O5","CHO","Protein",1.6,0.33,0.12,-0.9333,15,24,5,0,0,0
283.2641915,"C18H36O2","CHO","Lipid",2,0.11,0,-1.7778,18,36,2,0,0,0
283.2643905,"C18H36O2","CHO","Lipid",2,0.11,0,-1.7778,18,36,2,0,0,0
285.004034,"C14H6O7","CHO","ConHC",0.43,0.5,0.8095,0.5714,14,6,7,0,0,0
285.0252448,"C11H10O9","CHO","Tannin",0.91,0.82,0.3846,0.7273,11,10,9,0,0,0
285.0405329,"C15H10O6","CHO","ConHC",0.67,0.4,0.6667,0.1333,15,10,6,0,0,0
285.0507854,"C16H15O1S1P1","CHOSP","UnsatHC",0.94,0.06,0.5556,-0.6875,16,15,1,0,1,1
285.0615704,"C12H14O8","CHO","Tannin",1.17,0.67,0.25,0.1667,12,14,8,0,0,0
285.0768741,"C16H14O5","CHO","Lignin",0.88,0.31,0.5556,-0.25,16,14,5,0,0,0
285.0969583,"C7H19O6N4P1","CHONP","Other",2.71,0.86,7,0.7143,7,19,6,4,0,1
285.0979763,"C13H18O7","CHO","Lignin",1.38,0.54,0.1579,-0.3077,13,18,7,0,0,0
285.1132143,"C17H18O4","CHO","Lignin",1.06,0.24,0.4667,-0.5882,17,18,4,0,0,0
285.1261004,"C14H23O4P1","CHOP","Lipid",1.64,0.29,0.0909,-1.0714,14,23,4,0,0,1
285.1344131,"C14H22O6","CHO","Protein",1.57,0.43,0.0909,-0.7143,14,22,6,0,0,0
285.1485058,"C12H23O2N4P1","CHONP","Lipid",1.92,0.17,-0.3333,-0.5833,12,23,2,4,0,1
285.1707608,"C15H26O5","CHO","Protein",1.73,0.33,0.04,-1.0667,15,26,5,0,0,0
286.1296127,"C13H21O6N1","CHON","Protein",1.62,0.46,0,-0.4615,13,21,6,1,0,0
287.0197673,"C14H8O7","CHO","ConHC",0.57,0.5,0.7143,0.4286,14,8,7,0,0,0
287.040775,"C11H12O9","CHO","Tannin",1.09,0.82,0.2308,0.5455,11,12,9,0,0,0
287.0560467,"C15H12O6","CHO","Lignin",0.8,0.4,0.5833,0,15,12,6,0,0,0
287.0596142,"C12H16O6S1","CHOS","Lignin",1.33,0.5,0.125,-0.1667,12,16,6,0,1,0
287.0773297,"C12H16O8","CHO","Tannin",1.33,0.67,0.125,0,12,16,8,0,0,0
287.0917807,"C8H20O7N2S1","CHONS","Other",2.5,0.88,-4.3333,0.25,8,20,7,2,1,0
287.0919777,"C8H20O7N2S1","CHONS","Other",2.5,0.88,-4.3333,0.25,8,20,7,2,1,0
287.0924764,"C16H16O5","CHO","Lignin",1,0.31,0.4815,-0.375,16,16,5,0,0,0
287.1136336,"C13H20O7","CHO","Protein",1.54,0.54,0.0526,-0.4615,13,20,7,0,0,0
287.1289299,"C17H20O4","CHO","Lignin",1.18,0.24,0.4,-0.7059,17,20,4,0,0,0
287.1499958,"C14H24O6","CHO","Protein",1.71,0.43,0,-0.8571,14,24,6,0,0,0
287.1653335,"C18H24O3","CHO","Lignin",1.33,0.17,0.3333,-1,18,24,3,0,0,0
288.9543536,"C12H3O7P1","CHOP","ConHC",0.25,0.58,1,0.9167,12,3,7,0,0,1
288.9866301,"C8H7O8N2P1","CHONP","Tannin",0.88,1,0,1.875,8,7,8,2,0,1
288.9990469,"C13H6O8","CHO","ConHC",0.46,0.62,0.7778,0.7692,13,6,8,0,0,0
289.0354159,"C14H10O7","CHO","ConHC",0.71,0.5,0.619,0.2857,14,10,7,0,0,0
289.0706606,"C9H15O5N4P1","CHONP","AminoSugar",1.67,0.56,-1.6667,0.7778,9,15,5,4,0,1
289.071036,"C7H18O8N2S1","CHONS","Other",2.57,1.14,-Inf,0.8571,7,18,8,2,1,0
289.0717879,"C15H14O6","CHO","Lignin",0.93,0.4,0.5,-0.1333,15,14,6,0,0,0
289.0930247,"C12H18O8","CHO","AminoSugar",1.5,0.67,0,-0.1667,12,18,8,0,0,0
289.1081692,"C16H18O5","CHO","Lignin",1.12,0.31,0.4074,-0.5,16,18,5,0,0,0
289.1292489,"C13H22O7","CHO","Protein",1.69,0.54,-0.0526,-0.6154,13,22,7,0,0,0
289.1445273,"C17H22O4","CHO","Lignin",1.29,0.24,0.3333,-0.8235,17,22,4,0,0,0
289.1657043,"C14H26O6","CHO","Protein",1.86,0.43,-0.0909,-1,14,26,6,0,0,0
289.9868741,"C13H10O1N1S2P1","CHONSP","ConHC",0.77,0.08,0.6471,-0.0769,13,10,1,1,2,1
290.9691243,"C15H4O1N2S2","CHONS","ConHC",0.27,0.07,1,0.5333,15,4,1,2,2,0
291.0146541,"C13H8O8","CHO","ConHC",0.62,0.62,0.6667,0.6154,13,8,8,0,0,0
291.051013,"C14H12O7","CHO","Lignin",0.86,0.5,0.5238,0.1429,14,12,7,0,0,0
291.0874231,"C15H16O6","CHO","Lignin",1.07,0.4,0.4167,-0.2667,15,16,6,0,0,0
291.1238399,"C16H20O5","CHO","Lignin",1.25,0.31,0.3333,-0.625,16,20,5,0,0,0
291.1600847,"C17H24O4","CHO","Lignin",1.41,0.24,0.2667,-0.9412,17,24,4,0,0,0
291.1602847,"C17H24O4","CHO","Lignin",1.41,0.24,0.2667,-0.9412,17,24,4,0,0,0
291.9532433,"C15H3O2N1S2","CHONS","ConHC",0.2,0.13,1,0.5333,15,3,2,1,2,0
292.0048732,"C9H12O6N1S1P1","CHONSP","Tannin",1.33,0.67,-0.3333,0.5556,9,12,6,1,1,1
292.9939022,"C12H6O9","CHO","ConHC",0.5,0.75,0.7333,1,12,6,9,0,0,0
293.0303156,"C13H10O8","CHO","ConHC",0.77,0.62,0.5556,0.4615,13,10,8,0,0,0
293.033725,"C10H14O8S1","CHOS","Tannin",1.4,0.8,-0.2,0.4,10,14,8,0,1,0
293.06579,"C8H15O6N4P1","CHONP","Carb",1.88,0.75,-Inf,1.125,8,15,6,4,0,1
293.066666,"C14H14O7","CHO","Lignin",1,0.5,0.4286,0,14,14,7,0,0,0
293.1030342,"C15H18O6","CHO","Lignin",1.2,0.4,0.3333,-0.4,15,18,6,0,0,0
293.1394891,"C16H22O5","CHO","Lignin",1.38,0.31,0.2593,-0.75,16,22,5,0,0,0
293.172795,"C13H30O1N2S2","CHONS","Lipid",2.31,0.08,-0.5294,-1.3846,13,30,1,2,2,0
293.1758736,"C17H26O4","CHO","Lipid",1.53,0.24,0.2,-1.0588,17,26,4,0,0,0
293.1792567,"C14H30O4S1","CHOS","Lipid",2.14,0.29,-0.2727,-1.4286,14,30,4,0,1,0
293.9890556,"C11H5O9N1","CHON","ConHC",0.45,0.82,0.8182,1.4545,11,5,9,1,0,0
295.0095176,"C12H8O9","CHO","ConHC",0.67,0.75,0.6,0.8333,12,8,9,0,0,0
295.0247637,"C16H8O6","CHO","ConHC",0.5,0.38,0.7692,0.25,16,8,6,0,0,0
295.0447896,"C7H13O7N4P1","CHONP","Carb",1.86,1,3,1.8571,7,13,7,4,0,1
295.0459355,"C13H12O8","CHO","Lignin",0.92,0.62,0.4444,0.3077,13,12,8,0,0,0
295.0546933,"C16H12O2N2S1","CHONS","ConHC",0.75,0.12,0.6667,0,16,12,2,2,1,0
295.0611881,"C17H12O5","CHO","ConHC",0.71,0.29,0.6552,-0.1176,17,12,5,0,0,0
295.082354,"C14H16O7","CHO","Lignin",1.14,0.5,0.3333,-0.1429,14,16,7,0,0,0
295.1187195,"C15H20O6","CHO","Lignin",1.33,0.4,0.25,-0.5333,15,20,6,0,0,0
295.1550455,"C16H24O5","CHO","Protein",1.5,0.31,0.1852,-0.875,16,24,5,0,0,0
295.1552088,"C16H24O5","CHO","Protein",1.5,0.31,0.1852,-0.875,16,24,5,0,0,0
295.9836537,"C14H3O7N1","CHON","ConHC",0.21,0.5,1,1,14,3,7,1,0,0
297.0041422,"C15H6O7","CHO","ConHC",0.4,0.47,0.8261,0.5333,15,6,7,0,0,0
297.025195,"C12H10O9","CHO","Tannin",0.83,0.75,0.4667,0.6667,12,10,9,0,0,0
297.0404429,"C16H10O6","CHO","ConHC",0.62,0.38,0.6923,0.125,16,10,6,0,0,0
297.0615948,"C13H14O8","CHO","Lignin",1.08,0.62,0.3333,0.1538,13,14,8,0,0,0
297.0768177,"C17H14O5","CHO","Lignin",0.82,0.29,0.5862,-0.2353,17,14,5,0,0,0
297.0968925,"C8H19O6N4P1","CHONP","Other",2.38,0.75,-Inf,0.625,8,19,6,4,0,1
297.0979705,"C14H18O7","CHO","Lignin",1.29,0.5,0.2381,-0.2857,14,18,7,0,0,0
297.1132841,"C18H18O4","CHO","Lignin",1,0.22,0.5,-0.5556,18,18,4,0,0,0
297.1343544,"C15H22O6","CHO","Lignin",1.47,0.4,0.1667,-0.6667,15,22,6,0,0,0
297.1529615,"C16H26O3S1","CHOS","Lipid",1.62,0.19,0.1111,-1.125,16,26,3,0,1,0
297.1553921,"C12H26O8","CHO","AminoSugar",2.17,0.67,-0.5,-0.8333,12,26,8,0,0,0
297.1707548,"C16H26O5","CHO","Protein",1.62,0.31,0.1111,-1,16,26,5,0,0,0
297.1859764,"C20H26O2","CHO","UnsatHC",1.3,0.1,0.3684,-1.1,20,26,2,0,0,0
298.0155295,"C8H14O7N1S1P1","CHONSP","Carb",1.75,0.88,-2.3333,0.625,8,14,7,1,1,1
298.125608,"C9H21O8N3","CHON","Other",2.33,0.89,-3,0.4444,9,21,8,3,0,0
299.0180861,"C9H17O5S2P1","CHOSP","AminoSugar",1.89,0.56,-1,-0.3333,9,17,5,0,2,1
299.0197234,"C15H8O7","CHO","ConHC",0.53,0.47,0.7391,0.4,15,8,7,0,0,0
299.0270571,"C9H8O8N4","CHON","Tannin",0.89,0.89,0,2.2222,9,8,8,4,0,0
299.0408571,"C12H12O9","CHO","Tannin",1,0.75,0.3333,0.5,12,12,9,0,0,0
299.0551286,"C10H13O5N4P1","CHONP","Lignin",1.3,0.5,-0.2,0.9,10,13,5,4,0,1
299.0560954,"C16H12O6","CHO","ConHC",0.75,0.38,0.6154,0,16,12,6,0,0,0
299.0772666,"C13H16O8","CHO","Lignin",1.23,0.62,0.2222,0,13,16,8,0,0,0
299.0876532,"C14H21O3S1P1","CHOSP","Lipid",1.5,0.21,0.1429,-0.9286,14,21,3,0,1,1
299.0917539,"C9H20O7N2S1","CHONS","Other",2.22,0.78,-2.2,0.2222,9,20,7,2,1,0
299.0925397,"C17H16O5","CHO","Lignin",0.94,0.29,0.5172,-0.3529,17,16,5,0,0,0
299.1135924,"C14H20O7","CHO","Lignin",1.43,0.5,0.1429,-0.4286,14,20,7,0,0,0
299.1277719,"C12H21O3N4P1","CHONP","Lipid",1.75,0.25,-0.2727,-0.25,12,21,3,4,0,1
299.149995,"C15H24O6","CHO","Protein",1.6,0.4,0.0833,-0.8,15,24,6,0,0,0
299.1652969,"C19H24O3","CHO","Lignin",1.26,0.16,0.3714,-0.9474,19,24,3,0,0,0
299.1863352,"C16H28O5","CHO","Protein",1.75,0.31,0.037,-1.125,16,28,5,0,0,0
299.1894226,"C15H29O2N2P1","CHONP","Lipid",1.93,0.13,-0.0909,-1.2667,15,29,2,2,0,1
299.2590857,"C18H36O3","CHO","Lipid",2,0.17,-0.0303,-1.6667,18,36,3,0,0,0
300.0133532,"C8H16O5N1S2P1","CHONSP","AminoSugar",2,0.62,-3,0.125,8,16,5,1,2,1
