"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
201.9521456,"C9H2O1N1S1P1","CHONSP","ConHC",0.22,0.11,1.1818,0.5556,9,2,1,1,1,1
211.0611739,"C10H12O5","CHO","Lignin",1.2,0.5,0.3333,-0.2,10,12,5,0,0,0
211.1564276,"C10H20O1N4","CHON","Lipid",2,0.1,-0.2727,-0.6,10,20,1,4,0,0
212.0514795,"C6H16O3N1S1P1","CHONSP","Other",2.67,0.5,-3,-0.8333,6,16,3,1,1,1
212.9595142,"C7H3O6P1","CHOP","ConHC",0.43,0.86,1,1.2857,7,3,6,0,0,1
213.0910422,"C8H15O1N4P1","CHONP","Lipid",1.88,0.12,-0.6,-0.125,8,15,1,4,0,1
215.1110508,"C11H20O2S1","CHOS","Lipid",1.82,0.18,0,-1.2727,11,20,2,0,1,0
216.963183,"C9H3O1N2S1P1","CHONSP","ConHC",0.33,0.11,1.2222,0.7778,9,3,1,2,1,1
217.0366338,"C9H6O3N4","CHON","ConHC",0.67,0.33,1,1.3333,9,6,3,4,0,0
220.0379351,"C7H12O5N1P1","CHONP","Carb",1.71,0.71,-0.6,0.1429,7,12,5,1,0,1
221.0349151,"C5H10O4N4S1","CHONS","Carb",2,0.8,2,2.4,5,10,4,4,1,0
223.064674,"C8H16O5S1","CHOS","AminoSugar",2,0.62,-0.5556,-0.5,8,16,5,0,1,0
225.9403691,"C4H6O4N1S2P1","CHONSP","Carb",1.5,1,1.5,2.25,4,6,4,1,2,1
225.9637758,"C8H5O3N1S2","CHONS","ConHC",0.62,0.38,0.7143,1,8,5,3,1,2,0
225.9815648,"C8H5O5N1S1","CHONS","ConHC",0.62,0.62,0.7143,1.25,8,5,5,1,1,0
228.0906408,"C9H16O2N3P1","CHONP","Lipid",1.78,0.22,-0.25,-0.3333,9,16,2,3,0,1
234.981819,"C9H4O4N2S1","CHONS","ConHC",0.44,0.44,1,1.3333,9,4,4,2,1,0
235.0798007,"C13H16O2S1","CHOS","Lignin",1.23,0.15,0.3636,-0.7692,13,16,2,0,1,0
235.9973215,"C7H12O2N1S2P1","CHONSP","Lipid",1.71,0.29,-1,-0.1429,7,12,2,1,2,1
239.067439,"C10H12O5N2","CHON","Lignin",1.2,0.5,0.2727,0.4,10,12,5,2,0,0
240.9728741,"C9H7O4S1P1","CHOSP","ConHC",0.78,0.44,0.6,0.3333,9,7,4,0,1,1
241.9504733,"C8H6O2N1S2P1","CHONSP","ConHC",0.75,0.25,0.6667,0.625,8,6,2,1,2,1
245.0882748,"C10H19O1N2S1P1","CHONSP","Lipid",1.9,0.1,-0.2727,-0.9,10,19,1,2,1,1
245.1173403,"C9H19O2N4P1","CHONP","Lipid",2.11,0.22,-1,-0.3333,9,19,2,4,0,1
245.1394922,"C12H22O5","CHO","Protein",1.83,0.42,-0.0526,-1,12,22,5,0,0,0
246.9918109,"C8H8O7S1","CHOS","Tannin",1,0.88,0.1429,1,8,8,7,0,1,0
247.0754169,"C11H13O1N4P1","CHONP","UnsatHC",1.18,0.09,0.4545,0.0909,11,13,1,4,0,1
248.0845305,"C13H16O2N1P1","CHONP","Lignin",1.23,0.15,0.4,-0.6923,13,16,2,1,0,1
