CoreID,treatment,sat_level
FT001,Wetting,100
FT002,Wetting,100
FT003,Wetting,100
FT004,Wetting,100
FT005,Wetting,100
FT006,Drying,100
FT007,Drying,100
FT008,Drying,100
FT009,Drying,100
FT010,Drying,100
FT011,Wetting,50
FT012,Wetting,50
FT013,Wetting,50
FT014,Wetting,50
FT015,Wetting,50
FT016,Drying,50
FT017,Drying,50
FT018,Drying,50
FT019,Drying,50
FT020,Drying,50
FT081,FM,FM
FT082,FM,FM
FT083,FM,FM
FT084,FM,FM
FT085,FM,FM
